RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-01,SUNPHARMA,EQ,586.2,596,599.4,579.6,593,590.15,589.43,12621971,743971643185000,219511,2955251,0.2341,PHARMA
2021-02-01,GAIL,EQ,125.3,124.25,129,124.25,128.55,127.4,126.32,17372633,219456842775000,70712,5893396,0.3392,OIL & GAS
2021-02-01,EICHERMOT,EQ,2744.3,2777,2868.05,2698.55,2853,2842.85,2781.99,1847361,513933584460000.06,84346,259898,0.14070000000000002,AUTOMOBILE
2021-02-01,DRREDDY,EQ,4602.7,4560.05,4577.65,4393.05,4434.3,4428.15,4434.05,2590340,1148570597590000,191794,903244,0.34869999999999995,PHARMA
2021-02-02,DRREDDY,EQ,4428.15,4469,4528,4381,4492.05,4482.5,4452.89,3675106,1636482763485000,199921,1560703,0.4247,PHARMA
2021-02-02,EICHERMOT,EQ,2842.85,2920,2920,2825.95,2906,2904.85,2874.14,2125895,611011975115000,88608,254870,0.1199,AUTOMOBILE
2021-02-02,GAIL,EQ,127.4,128.9,132.2,128.75,130.6,129.7,130.02,16460769,214020354135000,77980,5202086,0.316,OIL & GAS
2021-02-02,HCLTECH,EQ,928.35,947,963,935.55,956.1,954.65,948.74,7690178,729601360545000,152162,3437900,0.4471,IT
2021-02-02,GRASIM,EQ,1125.65,1144,1209.9,1136.45,1190,1190,1182.6,4122906,487573411905000,104344,931805,0.226,CEMENT & CEMENT PRODUCTS
2021-02-02,ASIANPAINT,EQ,2447.8,2460,2520,2425.1,2470,2463.65,2469.98,2679428,661812824980000,144259,811972,0.303,CONSUMER GOODS
2021-02-02,ADANIPORTS,EQ,542.75,548.7,554.85,540,553.3,550.8,547.68,7160471,392165969050000,72629,1459412,0.2038,SERVICES
2021-02-02,AXISBANK,EQ,709.35,719.25,744.95,704.2,718.5,714.2,722.7,28703320,2074379969815000,336082,8276420,0.2883,FINANCIAL SERVICES
2021-02-02,BAJAJ-AUTO,EQ,4114.7,4155.8,4271.15,4117.25,4205,4201.45,4192.41,1167922,489641154705000,77031,281144,0.2407,AUTOMOBILE
2021-02-02,UPL,EQ,534.1,541,568.5,541,564.75,566.3,559.07,13416792,750090674280000,153204,4237232,0.3158,FERTILISERS & PESTICIDES
2021-02-02,ZEEL,EQ,227.2,228,247.7,227.5,244.9,242.9,239.9,31973546,767044685550000,175793,7265817,0.2272,MEDIA ENTERTAINMENT & PUBLICATION
2021-02-02,TECHM,EQ,941.75,955,972.9,937.5,957,957.2,952.03,4971530,473303543285000.06,151720,1904487,0.3831000000000001,IT
2021-02-02,WIPRO,EQ,421.5,428,435.55,423.65,427.9,428.35,427.93,13310498,569600826530000,111916,2813870,0.2114,IT
2021-02-02,VEDL,EQ,171.35,173.05,176.25,171.7,173.25,173.25,173.74,12556627,218163738900000,64635,2684863,0.2138,METALS
2021-02-02,CIPLA,EQ,806.4,807,826.35,801.5,826,821.6,813.62,8486828,690506769475000,118335,3021906,0.3561,PHARMA
2021-02-02,COALINDIA,EQ,129,131,132.85,129.65,131.9,131.25,131.3,15485139,203325174125000,88444,3910995,0.25260000000000005,METALS
2021-02-02,BRITANNIA,EQ,3520.75,3547.9,3554,3483.75,3514,3501.25,3511.41,869950,305475287395000,55014,507327,0.5832,CONSUMER GOODS
2021-02-02,BHARTIARTL,EQ,579.15,584.9,605.65,579.25,600.8,599.35,593.59,21311866,1265044319275000,220843,8413096,0.3948,TELECOM
2021-02-02,BAJAJFINSV,EQ,9721.8,9827.7,9990,9315,9505,9476.3,9613.89,1394390,1340550592500000,135676,163563,0.1173,FINANCIAL SERVICES
2021-02-02,BPCL,EQ,393,396.75,411,393.25,409.5,408,403.89,8876838,358525811815000,97195,3229175,0.3638,OIL & GAS
2021-02-02,BAJFINANCE,EQ,5058.6,5100,5337.95,5094.9,5172,5173.2,5223.45,4347993,2271152023605000,225976,935875,0.2152,FINANCIAL SERVICES
2021-02-02,SBIN,EQ,310.7,315,337.4,315,331.4,333.1,325.89,121434166,3957385592420000,696797,32088704,0.26420000000000005,FINANCIAL SERVICES
2021-02-02,SUNPHARMA,EQ,590.15,596.95,616.9,591.5,609.85,609.45,605.09,15788247,955328104535000,216023,3659196,0.2318,PHARMA
2021-02-02,INDUSINDBK,EQ,970.6,982.4,999,949.3,974.4,975.65,974.04,20556081,2002241791510000,322322,3550263,0.1727,FINANCIAL SERVICES
2021-02-02,HINDUNILVR,EQ,2248.6,2271.05,2275,2205,2225,2230.45,2233.77,4215607,941668307800000,229142,2451371,0.5815,CONSUMER GOODS
2021-02-02,ICICIBANK,EQ,603.8,613,624,598.7,618.45,617.35,613.06,42362384,2597071547890000,425599,12159902,0.287,FINANCIAL SERVICES
2021-02-02,INFY,EQ,1260.9,1280,1294.4,1263.6,1275.5,1271.25,1275.19,6892490,878922315679999.9,168360,3386619,0.4913,IT
2021-02-02,HDFCBANK,EQ,1476.75,1501,1578.5,1497.4,1560.5,1560.55,1556.51,21210103,3301380164000000,416712,10262616,0.4839,FINANCIAL SERVICES
2021-02-02,HEROMOTOCO,EQ,3340.65,3400,3400,3261,3290.6,3293.85,3307.88,1751516,579381029815000,117430,378115,0.2159,AUTOMOBILE
2021-02-02,HDFC,EQ,2579.25,2625,2762.95,2612,2658.7,2659,2702.44,9253486,2500699737230000,341033,4668522,0.5045000000000001,FINANCIAL SERVICES
2021-02-02,HINDALCO,EQ,241.15,244.2,257.4,243.9,254.5,255.35,252.61,18251184,461041146905000,123738,6866238,0.3762,METALS
